Transaction,Award ID,Order Number,DUNS,Recipient,Recipient City,Recipient State,Recipient CD,Recipient Country,Pop State,Pop CD,Pop Country,Award Amount,Award Date,Award Type,Awarding Agency,Awarding Bureau,Funding Agency,Funding Bureau,CFDA Code,CFDA Title,Fiscal Year,Role
23CD7D87-79D3-DABD-FE54-FAFF13CBAB85,"W81XWH08P0066","N/A",360671184,"DYNAMIX CORPORATION","Greenbelt                   ","MD",05,"USA","MD",08,"USA","$17,470.00",12/04/2007,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
2A6F2661-63A8-25F2-453C-BF48CF11C3DB,"GS35F5021H","N6313410F0006",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","CA",20,"USA","$55,191.30",10/01/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2010,Prime
79C6EDDB-8A1F-31C0-D8C6-CD09945F7369,"GS35F5021H","FERC10F0022",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","DC",00,"USA","$18,736.00",01/15/2010,Contracts,"Department of Energy","Federal Energy Regulatory Commission","Department of Energy","Federal Energy Regulatory Commission","","",2010,Prime
D78E3056-D829-2BB4-3360-2DAE5A149946,"GS35F5021H","EPG13H00621",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","DC",00,"USA","$14,419.79",12/19/2012,Contracts,"Environmental Protection Agency","Environmental Protection Agency","Environmental Protection Agency","Environmental Protection Agency","","",2013,Prime
73E22101-8F62-65A5-B7AD-4C4D413ECF67,"GS35F5021H","M6785413F4434",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",05,"USA","$8,642.40",09/17/2013,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2013,Prime
97BC1175-BACC-A026-599A-AA4C598D8F2D,"GS35F5021H","SS001030367",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",07,"USA","$76,406.00",12/23/2009,Contracts,"Social Security Administration","Social Security Administration","N/A","N/A","","",2010,Prime
640322A9-F554-80D7-111F-C20FED73F250,"GS35F5021H","FERC14F0263",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","DC",00,"USA","$10,432.80",11/07/2014,Contracts,"Department of Energy","Federal Energy Regulatory Commission","Department of Energy","Federal Energy Regulatory Commission","","",2015,Prime
E514CE8C-1CE1-776A-8D61-251705C2B299,"GS35F5021H","N0010411FQA46",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",05,"USA","$5,100.00",10/13/2010,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
4D8595AB-B386-02EC-6749-38A52AC6215F,"GS35F5021H","HSCETE11F00014",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",05,"USA","$4,698.00",03/01/2011,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2011,Prime
7CC456A6-D621-2AC8-0B3D-B2F9D1390D24,"GS35F5021H","FA877214F0002",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",05,"USA","$2,131.20",11/22/2013,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2014,Prime
FA4C5610-D50E-AC49-0635-EA569957AFF5,"GS35F5021H","SAQMMA12F3212",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",04,"USA","$257,476.10",09/05/2012,Contracts,"Department of State","Department of State","Department of State","Department of State","","",2012,Prime
95FF93C6-FE9C-2201-EAA0-503C6CB11E05,"GS35F5021H","SS001130479",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","MD",04,"USA","$61,406.00",02/15/2011,Contracts,"Social Security Administration","Social Security Administration","Social Security Administration","Social Security Administration","","",2011,Prime
E6F9DD60-1176-D4C7-E5F6-94409AF1C1BD,"GS35F5021H","M6785411F4369",360671184,"DYNAMIX CORPORATION","Hyattsville                 ","MD",04,"USA","VA",01,"USA","$7,172.40",09/26/2011,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
8DE77D3D-976D-CA66-DB0E-92D8C11A24CB,"DOCEL133010XX0047","N/A",837501899,"DYNAMIX GROUP, INC","Roswell                     ","GA",06,"USA","NC",10,"USA","$3,600.00",12/08/2009,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2010,Prime
131F8B4F-822F-1971-C6BB-09AB89E2F271,"DOCDG133W10CQ0021","DOCDG133W10CQ0021T0022",041241477,"E & E ENTERPRISES GLOBAL, INC.","Hampton                     ","VA",02,"USA","VA",02,"USA","$5,250.00",05/23/2012,Contracts,"Department of Commerce","National Oceanic and Atmospheric Administration","Department of Commerce","National Oceanic and Atmospheric Administration","","",2012,Prime
37224AB4-60B0-4C3D-ACE5-CFFBB377E11E,"070NC4","0799",785137535,"EASTMAN KODAK COMPANY","Rochester                   ","NY",25,"USA","NY",25,"USA","$100,000.00",02/13/2014,Others,"Department of Defense","U.S. Special Operations Command (USSOCOM)","N/A","N/A","","",2014,Sub
AE74C115-D0E4-4332-AB4A-5B2B03242AC3,"5004012077","N/A",004652384,"EBUSINESS INTEGRATORS LLC","Gaithersburg                ","MD",06,"USA","MD",04,"USA","$812,380.00",01/31/2012,Others,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2012,Sub
E1CCAA61-B1F1-49F6-8265-6E5EB69769E0,"5004399060","0002",004652384,"EBUSINESS INTEGRATORS LLC","Gaithersburg                ","MD",06,"USA","MD",05,"USA","$73,000.00",10/29/2013,Others,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2014,Sub
3FC75404-977A-4753-87F1-158DDE214A69,"5004129008","0002",004652384,"EBUSINESS INTEGRATORS LLC","Gaithersburg                ","MD",06,"USA","MD",05,"USA","$82,304.00",07/17/2012,Others,"Department of Commerce","National Oceanic and Atmospheric Administration","N/A","N/A","","",2012,Sub
38FD75FE-1B0E-F2F3-EF2B-47027324C2B1,"GS35F0511T","FA283513F0016",017573259,"EC AMERICA, INC.","Mc Lean                     ","VA",11,"USA","MA",05,"USA","$405,716.99",03/29/2013,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2013,Prime
7B071952-322E-A0C5-B6BB-64B2F94B927A,"GS35F0511T","W911QY14F0073",017573259,"EC AMERICA, INC.","Mc Lean                     ","VA",11,"USA","AL",02,"USA","$6,373.59",06/26/2014,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2014,Prime
AE148BB3-DE13-8F4C-AA99-8A354B05F0AF,"GS35F0511T","VA798A111160",017573259,"EC AMRC/BSNESS OBJCTS AMERICAS","Mc Lean                     ","VA",11,"USA","TX",35,"USA","$383,643.00",06/21/2011,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","Department of Veterans Affairs","Department of Veterans Affairs","","",2011,Prime
EC8F583C-FE11-4FDE-26EB-F4BB0EF48A2F,"GS35F0511T","AG7245D120007",017573259,"EC AMRC/BSNESS OBJCTS AMERICAS","Mc Lean                     ","VA",11,"USA","LA",02,"USA","$70,512.30",09/28/2011,Contracts,"Department of Agriculture","USDA, Office of the Chief Financial Officer","Department of Agriculture","USDA, Office of the Chief Financial Officer","","",2011,Prime
4BE549B9-44D8-8D73-E784-6B2D2D7177B8,"NNX13AA58Z","NNX13AA60D",131260551,"ECIFM SOLUTIONS, INC.","San Ramon                   ","CA",15,"USA","MS",04,"USA","$368,196.25",07/22/2013,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2013,Prime
04C3D09F-BF04-53E9-DE04-FAEF3B84FA12,"NNX13AA58Z","NNX14MD68D",131260551,"ECIFM SOLUTIONS, INC.","San Ramon                   ","CA",15,"USA","CA",15,"USA","$129,076.00",07/01/2014,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2014,Prime
57B8C939-0A5B-93A1-387D-C96F89000C57,"NNX13AA58Z","NNX15MC50D",131260551,"ECIFM SOLUTIONS, INC.","San Ramon                   ","CA",15,"USA","CA",15,"USA","$129,464.00",12/12/2014,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2015,Prime
66DFCDB1-1492-44A3-ABFA-356879CCD22F,"NNX13AA58Z","NNX15ME43D",131260551,"ECIFM SOLUTIONS, INC.","San Ramon                   ","CA",15,"USA","CA",15,"USA","$67,482.60",06/03/2015,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2015,Prime
8537C726-D4BE-46F5-A7E9-FC4DA59F2538,"NNX13AA58Z","NNX15MC50D",131260551,"ECIFM SOLUTIONS, INC.","San Ramon                   ","CA",15,"USA","CA",15,"USA","$48,826.17",07/31/2015,Contracts,"National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","National Aeronautics and Space Administration","","",2015,Prime
5274D3F4-4626-4A1F-B8C3-AE0CB9A9F3F2,"5004692479","0017",099494473,"ECLARO INTERNATIONAL, INC.","New York                    ","NY",10,"USA","MD",08,"USA","$92,920.00",06/02/2015,Sub-Contract,"Social Security Administration","Social Security Administration","N/A","N/A","","",2015,Sub
C18C90D2-524C-4261-BF0D-F15FFEBC8BE7,"SS001550107","N/A",620897504,"EDAC SYSTEMS, INC.","Fredericksburg              ","VA",01,"USA","VA",01,"USA","$49,752.28",04/08/2015,Contracts,"Social Security Administration","Social Security Administration","Social Security Administration","Social Security Administration","","",2015,Prime
70613363-791C-8D46-82F3-C1EF97A71C31,"HHSF223201210972P","N/A",620897504,"EDAC SYSTEMS, INC.","Fredericksburg              ","VA",01,"USA","VA",01,"USA","$6,184.10",08/04/2012,Contracts,"Department of Health and Human Services","Food and Drug Administration","Department of Health and Human Services","Food and Drug Administration","","",2012,Prime
341FA4B7-D347-4FB9-4A66-CD693C57764A,"GS35F5840H","SAQMMA12F4717",620897504,"EDAC SYSTEMS, INC.","Fredericksburg              ","VA",01,"USA","VA",01,"USA","$33,051.07",09/28/2012,Contracts,"Department of State","Department of State","Department of State","Department of State","","",2012,Prime
EF5F7BA2-66A9-B735-A105-F3ADD3F2F771,"DTFH7008P00090","N/A",147089981,"EFI'S DISCOUNT COMPUTERS","Lafayette                   ","CA",11,"USA","WA",03,"USA","$41,965.00",07/24/2008,Contracts,"Department of Transportation","Federal Highway Administration","N/A","N/A","","",2008,Prime
EB11B7C5-F3E3-F118-1478-87E76B0DAF62,"HSHQDC07D00023","HSFEHQ08J1628",136483802,"EG SOLUTIONS LIMITED LIABILITY COMPANY","Reston                      ","VA",11,"USA","DC",00,"USA","$50,564.52",09/15/2008,Contracts,"Department of Homeland Security","Federal Emergency Management Agency","Department of Homeland Security","Federal Emergency Management Agency","","",2008,Prime
8E9F3020-D032-DAD2-D8DD-05538437A454,"HSHQDC07D00023","HSCETE10J00559",136483802,"EG SOLUTIONS LIMITED LIABILITY COMPANY","Reston                      ","VA",11,"USA","VA",10,"USA","$27,277.50",08/26/2010,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2010,Prime
CE32B6D4-1C31-DF98-7772-AE12988A3522,"V459R83411","N/A",062912787,"ELECTRONIC BUSINESS MACHINES INC","Honolulu                    ","HI",01,"USA","HI",01,"USA","$448.01",07/28/2008,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2008,Prime
57049478-E436-DD71-0BBE-8657ED02D3AC,"HUDCCOPC22807","N/A",077817617,"ELECTRONIC DATA SYSTEMS CORPORATION","Herndon                     ","VA",10,"USA","DC",00,"USA","$2,759,430.00",09/15/2009,Contracts,"Department of Housing and Urban Development","Department of Housing and Urban Development","Department of Housing and Urban Development","Department of Housing and Urban Development","","",2009,Prime
F29B5F6A-F3F6-CB5F-560B-13D511D75B79,"HUDCCOPC22807","N/A",077817617,"ELECTRONIC DATA SYSTEMS CORPORATION","Herndon                     ","VA",10,"USA","DC",00,"USA","$766,554.00",08/24/2009,Contracts,"Department of Housing and Urban Development","Department of Housing and Urban Development","Department of Housing and Urban Development","Department of Housing and Urban Development","","",2009,Prime
1C878D4E-403E-1A19-0030-57F06E2DCAF3,"GSSWN0A0F8","N/A",942173550,"ELLISON SYSTEMS INC.","New York                    ","NY",10,"USA","NY",10,"USA","$191.10",10/19/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2010,Prime
E030BFB3-1170-C510-D59E-1CA26167C809,"GSSWN9AKUC","N/A",942173550,"ELLISON SYSTEMS INC.","New York                    ","NY",10,"USA","NY",10,"USA","$220.50",10/19/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2010,Prime
BE9A8F51-F5B8-E4C1-32DE-C6926F0C0363,"GS02F0141P","GSNXSA3V1580",942173550,"ELLISON SYSTEMS INCORPORATED","NEW YORK","NY",08,"USA","NY",10,"USA","$797.32",07/01/2010,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","","",2010,Prime
59B521AD-4A87-935D-F100-5CC9F3DD0674,"GS02F0141P","GSSWN9AFR5",942173550,"ELLISON SYSTEMS INCORPORATED","NEW YORK","NY",08,"USA","NY",10,"USA","$279.30",09/18/2009,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2009,Prime
D95647DF-D5F7-932F-086E-180EB6C78E6C,"GS02F0141P","GSC08AA64941",942173550,"ELLISON SYSTEMS INCORPORATED","NEW YORK","NY",08,"USA","NY",10,"USA","$154.50",03/26/2008,Contracts,"General Services Administration","Federal Acquisition Service Previously - Federal Supply Service (FSS)","N/A","N/A","","",2008,Prime
6B36B4A9-C2D4-6039-2DD2-092C6014A8CD,"VA200P0090","V101S97064",097447148,"EMC CORPORATION","Hopkinton                   ","MA",04,"USA","IL",07,"USA","$966.00",10/01/2008,Contracts,"Department of Veterans Affairs","Department of Veterans Affairs","N/A","N/A","","",2009,Prime
42BC61E6-D75D-128E-6F53-38DDC18F5B29,"F12PO4100000243544","N/A",157392531,"E-MEDIA PLUS, INC.","South Hackensack            ","NJ",09,"USA","DC",00,"USA","$24,800.00",12/13/2011,Contracts,"Smithsonian Institution","Smithsonian Institution","Smithsonian Institution","Smithsonian Institution","","",2012,Prime
FFB10281-BC97-D9CF-D68B-2A0D55B94953,"F09PO0000186211","N/A",157392531,"E-MEDIA PLUS, INC.","South Hackensack            ","NJ",09,"USA","DC",00,"USA","$10,200.00",09/25/2009,Contracts,"Smithsonian Institution","Smithsonian Institution","N/A","N/A","","",2009,Prime
11CBF470-49AF-1CEE-6496-D6ACB5776B70,"F10PO4110000191044","N/A",157392531,"E-MEDIA PLUS, INC.","South Hackensack            ","NJ",09,"USA","DC",00,"USA","$20,591.08",12/14/2009,Contracts,"Smithsonian Institution","Smithsonian Institution","N/A","N/A","","",2010,Prime
128336DE-7143-751E-8B68-73F4DF2E1AF3,"NRCHQ13P330104","N/A",157392531,"E-MEDIA PLUS, INC.","South Hackensack            ","NJ",09,"USA","NJ",09,"USA","$2,013.60",06/25/2013,Contracts,"Nuclear Regulatory Commission","Nuclear Regulatory Commission","Nuclear Regulatory Commission","Nuclear Regulatory Commission","","",2013,Prime
53ADDE89-3E4D-D2FC-B387-EE1AB5849048,"TIRNE12P00452","N/A",197863012,"EMPIRE EQUIPMENT & SUPPLY COMPANY INC.","Highland Park               ","MI",14,"USA","MI",14,"USA","$12,240.00",07/16/2012,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2012,Prime
A0FAE11A-E5DB-031B-0D0D-B6F6E113DDAA,"TIRNE12P00529","N/A",197863012,"EMPIRE EQUIPMENT & SUPPLY COMPANY INC.","Highland Park               ","MI",14,"USA","MI",14,"USA","$12,240.00",08/23/2012,Contracts,"Department of the Treasury","Internal Revenue Service","Department of the Treasury","Internal Revenue Service","","",2012,Prime
316C0E3D-3DB3-1075-19C4-2CE7C4173343,"NNG07DA51B","TIRNO09K00172",064299332,"EMTEC FEDERAL INCORPORATED","Springfield                 ","NJ",07,"USA","VA",10,"USA","$7,933.40",02/26/2009,Contracts,"Department of the Treasury","Internal Revenue Service","N/A","N/A","","",2009,Prime
5D5539D5-61C5-379D-04A8-8D4019E4D4DD,"GS35F4564G","N0010409FQ494",064299332,"EMTEC FEDERAL INCORPORATED","Springfield                 ","NJ",07,"USA","NJ",07,"USA","$38,927.35",04/16/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
DCD74958-D581-D894-98BC-F8139C704589,"NNG07DA51B","AG3K06D110463",064299332,"EMTEC FEDERAL INCORPORATED","Springfield                 ","NJ",07,"USA","NJ",07,"USA","$483,176.55",12/22/2011,Contracts,"Department of Agriculture","Agricultural Research Service","Department of Agriculture","National Agricultural Statistics Service","","",2012,Prime
3216D019-321C-EBA4-5034-A30E64D69CE4,"GS35F0372N","N6893610F0306",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","CA",33,"USA","$39,562.30",09/14/2010,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2010,Prime
9453A04E-69E3-515D-A7A5-77F35227CE06,"GS35F0372N","N6893611F0023",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","CA",44,"USA","$15,386.08",11/16/2010,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
0A301105-3E4C-858F-3B4F-B3172210F1A7,"GS35F0372N","N6893611F0156",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","CA",44,"USA","$17,031.75",04/22/2011,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
E9BB8402-AE13-9AEE-0FAC-092CBF0BB6B6,"DOCSB134114SU0030","N/A",138565960,"EN POINTE GOV INC","Gardena                     ","CA",44,"USA","MD",06,"USA","$3,852.59",01/10/2014,Contracts,"Department of Commerce","National Institute of Standards and Technology","Department of Commerce","National Institute of Standards and Technology","","",2014,Prime
A60853B3-F01A-17EA-1080-FF09EE373285,"GS35F0372N","HE125411F0005",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","VA",08,"USA","$13,917.20",12/02/2010,Contracts,"Department of Defense","Department of Defense Education Activity","Department of Defense","Department of Defense Education Activity","","",2011,Prime
E124E8E7-DC7C-83DF-B536-F02E173DE3C0,"GS35F0372N","DOLF112J15006",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","DC",00,"USA","$4,273.80",05/26/2011,Contracts,"Department of Labor","Bureau of Labor Statistics","Department of Labor","Bureau of Labor Statistics","","",2011,Prime
E6BA99E0-4F32-F15A-69BE-1763F3975ECB,"GS35F0372N","N0016711F0025",138565960,"EN POINTE GOV INC","El Segundo                  ","CA",36,"USA","CA",44,"USA","$4,230.52",02/04/2011,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2011,Prime
6F6C470A-7994-E873-5851-5E6BBF30A5AE,"GS35F0372N","M6785409F3010",138565960,"EN POINTE GOV, INC","El Segundo                  ","CA",36,"USA","CA",33,"USA","$12,975.00",01/29/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
A40F975F-7A01-A432-30E6-8F3E43C619E0,"GS35F0372N","FA822408FA118",138565960,"EN POINTE GOV, INC","El Segundo                  ","CA",36,"USA","CA",44,"USA","$50,206.75",06/25/2008,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2008,Prime
63A7329A-89EB-9C06-622A-BC416F1DCA82,"GS35F0372N","INDNBCF08321",138565960,"EN POINTE GOV, INC","El Segundo                  ","CA",36,"USA","VA",11,"USA","$10,379.00",04/24/2008,Contracts,"Department of the Interior ","Office of Policy, Management and Budget/Chief Financial Officer","N/A","N/A","","",2008,Prime
F68423A3-9B27-8DA8-3FE7-DDEA8AD2C8BE,"FA304713P0356","N/A",109128004,"ENCHOICE, INC.","Tempe                       ","AZ",09,"USA","TX",23,"USA","$67,271.44",09/20/2013,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2013,Prime
73A0DC1B-09EC-6055-EFAE-EA0C01ADF423,"GS35F0548N","W81XWH08F1047",110018033,"ENTERPRISE INFORMATION MANGEME","Lanoka Harbor               ","NJ",03,"USA","VA",08,"USA","$76,113.38",09/26/2008,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2008,Prime
9C0121B0-1BA0-AE51-CF6B-63DD6972FC42,"GS35F0329X","N3239814F0210",005050346,"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.","Pleasanton                  ","CA",15,"USA","MD",08,"USA","$4,335.80",04/04/2014,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2014,Prime
014BCDD4-97ED-41C6-93E0-4261D4AA18F9,"GS35F0329X","N0017815F4167",005050346,"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.","Fremont                     ","CA",17,"USA","CA",17,"USA","$68,964.58",03/24/2015,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2015,Prime
6ED61A44-86AB-BE49-1D2D-8C870EB57367,"N0018909PZ952","N/A",829213888,"ENVIRONMENTAL BUSINESS SOLUTIONS LLC","Lake Worth                  ","FL",21,"USA","FL",21,"USA","$65,990.00",09/24/2009,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2009,Prime
12EE5CDB-E515-71BE-A379-E542E4326AFE,"W912L313A0009","0005",118860779,"ENVISION XPRESS, INC.","Wichita                     ","KS",04,"USA","VA",08,"USA","$180,922.50",09/18/2013,Contracts,"Department of Defense","Department of the Army","Department of Defense","Department of the Army","","",2013,Prime
FBB29199-06D4-02D9-E616-55BEA425348C,"GSOOI11AAP0126","N/A",157656583,"EPHOX CORPORATION","Palo Alto                   ","CA",18,"USA","DC",00,"USA","$7,140.00",04/25/2011,Contracts,"General Services Administration","Office of the Chief People Officer","General Services Administration","Office of the Chief Information Officer","","",2011,Prime
75EF82E9-3EA6-B845-3F12-1C438BB5C4FB,"GS00A09AAP0023","N/A",157656583,"EPHOX CORPORATION","San Mateo                   ","CA",14,"USA","CA",14,"USA","$6,750.00",12/09/2008,Contracts,"General Services Administration","Office of the Chief People Officer","N/A","N/A","","",2009,Prime
FB61E7A8-8042-CF96-477C-479089C50081,"GS00V08PDP0026","N/A",157656583,"EPHOX CORPORATION","Wilmington                  ","DE",00,"USA","DC",00,"USA","$6,498.00",11/28/2007,Contracts,"General Services Administration","Office of Governmentwide Policy","N/A","N/A","","",2008,Prime
DE539BF6-FCAA-65F8-B6A3-E36A2A4AA9C1,"GS35F0673N","N6572612F0002",618510192,"EPLUS TECHNOLOGY, INC","Herndon                     ","VA",11,"USA","VA",11,"USA","$443,989.93",02/16/2012,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2012,Prime
87AE9CCD-DCA5-ED87-1016-F0C4E71755CB,"GS35F0363P","W81XWH12F0179",136155178,"ESCGOV","MC LEAN","VA",10,"USA","VA",10,"USA","$420,291.89",08/31/2012,Contracts,"Department of Defense","Department of the Army","Department of Defense","TRICARE Management Activity","","",2012,Prime
8F820743-E053-6C9E-7B88-FC0C6AF363B6,"GS35F0363P","SAQMMA11F3020",136155178,"ESCGOV","MC LEAN","VA",10,"USA","VA",10,"USA","$167,847.35",09/06/2011,Contracts,"Department of State","Department of State","Department of State","Department of State","","",2011,Prime
F1244B45-06F5-EE42-8FD4-5F7EACDA5D8D,"GS35F0363P","FA701411FX013",136155178,"ESCGOV","MC LEAN","VA",10,"USA","DC",00,"USA","$26,746.50",09/27/2011,Contracts,"Department of Defense","Department of the Air Force","Department of Defense","Department of the Air Force","","",2011,Prime
B3399597-208B-6EE2-204C-0FE0C9419D9C,"GS35F0363P","HSCG4415FSAP051",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",11,"USA","$239.84",02/23/2015,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2015,Prime
E4F32CA6-0BC5-B0C2-DA64-D6C594C0F0B4,"GS35F0363P","N0001514F0016",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",10,"USA","$88,866.15",12/30/2013,Contracts,"Department of Defense","Department of the Navy","Department of Defense","Department of the Navy","","",2014,Prime
29541C6E-BF3D-A4F8-1483-233536AC6703,"GS35F0363P","HSCETC09F00014",136155178,"ESCGOV","MC LEAN","VA",10,"USA","VA",10,"USA","$100,000.00",04/12/2011,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2011,Prime
375440D4-2B63-DE45-C22B-FDFFF54C84A8,"GS35F0363P","EDPEP11O0071",136155178,"ESCGOV","MC LEAN","VA",10,"USA","VA",10,"USA","$83,342.61",09/01/2011,Contracts,"Department of Education","Department of Education","Department of Education","Department of Education","","",2011,Prime
6DB3BD4A-4F84-5E0E-79AA-16BE6546BAAA,"GS35F0363P","HSCETC09F00014",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",11,"USA","$145,202.00",07/29/2014,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2014,Prime
EBE27DE2-4E1F-B7AE-8F66-3E553D5805C8,"GS35F0363P","HSCETC09F00014",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",11,"USA","$145,452.00",05/30/2014,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2014,Prime
6FD5048D-AF47-9BFF-ECF4-FDF30780C245,"GS35F0363P","HSCG2314FRAZ473",136155178,"ESCGOV","MC LEAN","VA",11,"USA","DC",00,"USA","$229,456.79",09/29/2014,Contracts,"Department of Homeland Security","U.S. Coast Guard","Department of Homeland Security","U.S. Coast Guard","","",2014,Prime
B7001CF2-CCB8-AF6E-7C6C-7CF3F7D8CDDA,"GS35F0363P","HSCETC09F00014",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",11,"USA","$158,327.50",08/27/2014,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2014,Prime
D593668D-9107-92E0-69D0-278E8B8A750B,"GS35F0363P","HSCETC09F00014",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",11,"USA","$151,337.00",06/25/2014,Contracts,"Department of Homeland Security","U.S. Immigration and Customs Enforcement","Department of Homeland Security","U.S. Immigration and Customs Enforcement","","",2014,Prime
9CCE3234-FCCE-0701-649A-897C17B6869C,"GS35F0363P","HSBP1014F00081",136155178,"ESCGOV","MC LEAN","VA",11,"USA","VA",10,"USA","$176,360.00",04/15/2014,Contracts,"Department of Homeland Security","U.S. Customs and Border Protection","Department of Homeland Security","U.S. Customs and Border Protection","","",2014,Prime
